Date,Open,High,Low,Close,Volume
2023-10-27,166.9100,168.9600,166.8300,168.2200,58295508
2023-10-26,170.3700,171.3775,165.6700,166.8900,70625258
2023-10-25,171.8800,173.0600,170.6500,171.1000,57156962
2023-10-24,173.0500,173.6700,171.4500,173.4400,43816644
2023-10-23,170.9100,174.0100,169.9300,173.0000,55980109
2023-10-20,175.3100,175.4200,172.6400,172.8800,64244028
2023-10-19,176.0400,177.8400,175.1900,175.4600,59302863
2023-10-18,175.5800,177.5750,175.1100,175.8400,54764375
2023-10-17,176.6450,178.4200,174.8000,177.1500,57549350
2023-10-16,176.7500,179.0750,176.5100,178.7200,52516984
2023-10-13,181.4200,181.9300,178.1400,178.8500,51456082
2023-10-12,180.0700,182.3400,179.0400,180.7100,56743119
2023-10-11,178.2000,179.8500,177.6000,179.8000,47551098
2023-10-10,178.1000,179.7200,177.9500,178.3900,43698019
2023-10-09,176.8100,179.0500,175.8000,178.9900,42390772
2023-10-06,173.8000,177.9900,173.1800,177.4900,57266675
2023-10-05,173.7900,175.4500,172.6800,174.9100,48527918
2023-10-04,171.0900,174.2100,170.9700,173.6600,53020286
2023-10-03,172.2550,173.6300,170.8200,172.4000,49594613
2023-10-02,171.2200,174.3000,170.9300,173.7500,52164535
2023-09-29,172.0200,173.0700,170.3410,171.2100,51861083
2023-09-28,169.3400,172.0300,167.6200,170.6900,56294419
2023-09-27,172.6200,173.0400,169.0500,170.4300,66921808
2023-09-26,174.8200,175.2000,171.6600,171.9600,64588945
2023-09-25,174.2000,176.9700,174.1500,176.0800,46172740
2023-09-22,174.6700,177.0790,174.0500,174.7900,56725385
2023-09-21,174.5500,176.3000,173.8600,173.9300,63149116
2023-09-20,179.2600,179.6950,175.4000,175.4900,58436181
2023-09-19,177.5200,179.6300,177.1300,179.0700,51826941
2023-09-18,176.4800,179.3800,176.1700,177.9700,67257573
2023-09-15,176.4800,176.4950,173.8200,175.0100,109259461
2023-09-14,174.0000,176.1000,173.5800,175.7400,60895757
2023-09-13,176.5100,177.3000,173.9800,174.2100,84267928
2023-09-12,179.4900,180.1300,174.8200,176.3000,90370192
2023-09-11,180.0700,180.3000,177.3400,179.3600,58953052
2023-09-08,178.3500,180.2390,177.7900,178.1800,65602066
2023-09-07,175.1800,178.2100,173.5400,177.5600,112488803
2023-09-06,188.4000,188.8500,181.4700,182.9100,81755816
2023-09-05,188.2800,189.9800,187.6100,189.7000,45280027
2023-09-01,189.4850,189.9200,188.2800,189.4600,45766503
2023-08-31,187.8400,189.1200,187.4800,187.8700,60794467
2023-08-30,184.9400,187.8500,184.7400,187.6500,60813888
2023-08-29,179.6950,184.9000,179.5000,184.1200,53003948
2023-08-28,180.0900,180.5900,178.5450,180.1900,43820697
2023-08-25,177.3800,179.1500,175.8200,178.6100,51449594
2023-08-24,180.6740,181.1040,176.0100,176.3800,54945798
2023-08-23,178.5200,181.5500,178.3250,181.1200,52722752
2023-08-22,177.0600,177.6800,176.2500,177.2300,42084245
