Date,Open,High,Low,Close,Volume
2023-10-27,143.6200,144.7000,141.7100,142.5200,5452216
2023-10-26,142.2000,144.4100,141.5800,143.7600,11130170
2023-10-25,137.5000,138.4900,136.3300,137.0800,6472549
2023-10-24,136.7400,137.9800,136.0500,137.7900,3697975
2023-10-23,136.6300,137.6800,135.8700,136.3800,3457527
2023-10-20,138.1500,139.2700,137.1200,137.1600,4865615
2023-10-19,138.6400,139.4050,137.9300,138.0100,5314159
2023-10-18,140.0000,140.4300,139.5800,139.9700,3329985
2023-10-17,137.1200,140.6200,136.3100,140.3200,4172822
2023-10-16,139.2800,139.7800,138.5200,139.2100,3361468
2023-10-13,139.7700,140.1200,138.2700,138.4600,4583553
2023-10-12,142.5100,142.9300,140.9500,141.2400,3921142
2023-10-11,142.5100,143.3400,142.1400,143.2300,2511459
2023-10-10,142.6000,143.4150,141.7200,142.1100,3015784
2023-10-09,142.3000,142.4000,140.6800,142.2000,2354396
2023-10-06,141.4000,142.9400,140.1100,142.0300,3511347
2023-10-05,140.9000,141.7000,140.1900,141.5200,3223910
2023-10-04,140.3700,141.2004,139.9900,141.0700,2637779
2023-10-03,140.8700,141.6400,140.0000,140.3900,3284421
2023-10-02,140.0400,141.4500,139.8600,140.8000,3275461
2023-09-29,142.0000,142.1300,139.6100,140.3000,5703983
2023-09-28,142.1400,142.2820,140.2050,141.5800,5783422
2023-09-27,143.6700,143.8200,141.7600,143.1700,4439121
2023-09-26,145.5100,146.1700,143.0201,143.2400,4824654
2023-09-25,146.5700,147.4300,146.2500,146.4800,2694245
2023-09-22,147.4100,148.1000,146.8200,146.9100,2562216
2023-09-21,149.0000,149.2500,147.3100,147.3800,4944786
2023-09-20,148.3600,151.9299,148.1300,149.8300,9636681
2023-09-19,145.0000,146.7200,144.6600,146.5200,3945423
2023-09-18,145.7700,146.4800,145.0600,145.0900,2508062
2023-09-15,147.1100,147.8500,145.5300,145.9900,6234033
2023-09-14,147.3800,147.7300,146.4800,147.3500,2723200
2023-09-13,145.9500,146.9800,145.9200,146.5500,2627999
2023-09-12,147.9200,148.0000,145.8000,146.3000,4457695
2023-09-11,148.5700,148.7800,147.5800,148.3800,3273720
2023-09-08,147.3500,148.5900,147.2600,147.6800,3722927
2023-09-07,148.1300,148.7800,147.4000,147.5200,3333040
2023-09-06,147.6600,148.3300,147.1200,148.0600,2932203
2023-09-05,147.9100,149.0000,147.5719,148.1300,3731281
2023-09-01,147.2600,148.1000,146.9200,147.9400,2727796
2023-08-31,146.9400,147.7275,146.5400,146.8300,3885949
2023-08-30,146.4200,146.9200,145.7452,146.8600,2245402
2023-08-29,146.3000,146.7300,145.6200,146.4500,2778113
2023-08-28,145.4100,146.7400,145.2100,146.0200,3561347
2023-08-25,144.1800,145.4700,143.5000,145.3500,3660147
2023-08-24,143.5050,144.4700,143.2200,143.5500,2900244
2023-08-23,141.7200,143.4750,141.5800,143.4100,2559083
2023-08-22,142.6600,143.2250,141.3000,141.4900,3557734
2023-08-21,141.4200,142.3900,141.1100,142.2800,2937781
2023-08-18,140.0000,141.8300,139.7600,141.4100,3915480
2023-08-17,141.0100,142.6600,140.6000,140.6600,3742058
2023-08-16,141.7000,142.0900,140.5600,140.6400,3285347
2023-08-15,141.5000,142.3100,141.2000,141.8700,3656559
2023-08-14,143.0500,143.3650,141.8020,141.9100,4226563
2023-08-11,143.1200,143.4500,142.2050,143.1200,2526433
2023-08-10,143.0400,144.5800,142.6900,143.2500,4735763
2023-08-09,144.9400,144.9400,142.3000,142.4900,4073038
2023-08-08,145.7000,146.1500,144.1100,145.9100,4654582
2023-08-07,145.0000,146.5000,144.9300,146.1800,3438654
2023-08-04,145.0900,146.0900,143.9900,144.2400,4223204
2023-08-03,143.7800,145.2200,143.3116,144.4500,3952640
2023-08-02,142.7800,144.3000,142.3100,144.1700,4959381
2023-08-01,144.2500,144.4800,142.1700,143.3300,4798703
2023-07-31,143.8100,144.6050,143.5300,144.1800,6138902
2023-07-28,143.4400,143.9500,142.8500,143.4500,6686627
2023-07-27,142.3000,143.3800,141.9000,142.9700,6331563
2023-07-26,140.4400,141.2500,139.8800,141.0700,4046441
2023-07-25,139.4200,140.4300,139.0403,140.3300,3770813
2023-07-24,139.3500,140.1200,138.7788,139.5400,3475442
2023-07-21,138.2100,139.7799,137.7600,138.9400,5858741
2023-07-20,137.1900,140.3200,136.5600,138.3800,10896330
2023-07-19,135.5300,136.4500,135.1900,135.4800,5519992
2023-07-18,134.7100,135.9500,134.2900,135.3600,3852058
2023-07-17,133.2600,134.6100,133.1000,134.2400,3168419
2023-07-14,133.9100,133.9200,132.9400,133.4000,2861496
2023-07-13,133.5100,135.0700,133.3600,133.9200,3221422
2023-07-12,135.0700,135.3300,132.5750,132.8400,3732189
2023-07-11,133.6600,134.5600,133.2300,134.4400,2925238
2023-07-10,131.7600,133.0500,131.6950,132.9000,2369425
2023-07-07,131.7800,133.8550,131.7500,132.0800,2982738
2023-07-06,133.2350,133.9000,131.5500,132.1600,3508083
2023-07-05,133.3200,134.3100,132.5900,134.2400,2955870
2023-07-03,133.4200,134.3500,132.8700,133.6700,1477149
2023-06-30,134.6900,135.0300,133.4250,133.8100,4236677
2023-06-29,131.7500,134.3500,131.6900,134.0600,3639836
2023-06-28,132.0600,132.1700,130.9100,131.7600,2753779
2023-06-27,131.3000,132.9500,130.8300,132.3400,3219909
2023-06-26,129.3900,131.4100,129.3100,131.3400,4845649
2023-06-23,130.4000,130.6200,129.1800,129.4300,11324705
2023-06-22,131.6800,132.9600,130.6800,131.1700,6013021
2023-06-21,135.1100,135.3900,133.2900,133.6900,5501272
2023-06-20,136.3600,137.2300,135.8900,135.9600,4272511
2023-06-16,139.2300,139.4690,137.4700,137.4800,7473676
2023-06-15,137.2700,138.8000,137.1750,138.4000,3812582
2023-06-14,137.8000,138.9300,136.9400,137.2000,4514888
2023-06-13,136.5100,138.1700,136.0000,137.6000,3927331
2023-06-12,136.0000,136.6200,135.8216,136.4200,4500120
2023-06-09,134.3600,136.1000,134.1700,135.3000,3981748
2023-06-08,134.6900,135.9800,134.0100,134.4100,4128939
2023-06-07,132.5000,134.4400,132.1900,134.3800,5772024
