Date,Open,High,Low,Close,Volume
2023-10-27,330.4250,336.7200,328.4007,329.8100,29805162
2023-10-26,340.5400,341.6300,326.9400,327.8900,37828543
2023-10-25,345.0200,346.2000,337.6200,340.6700,55053828
2023-10-24,331.3000,331.8400,327.6000,330.5300,31153571
2023-10-23,325.4700,332.7250,324.3900,329.3200,24374748
2023-10-20,331.7200,331.9200,325.4500,326.6700,25027715
2023-10-19,332.1500,336.8800,330.9100,331.3200,25052071
2023-10-18,332.4900,335.5900,328.3000,330.1100,23153602
2023-10-17,329.5900,333.4600,327.4100,332.0600,18338523
2023-10-16,331.0500,336.1400,330.6000,332.6400,22158048
2023-10-13,332.3800,333.8300,326.3600,327.7300,21085695
2023-10-12,330.5650,333.6299,328.7200,331.1600,19313098
2023-10-11,331.2100,332.8200,329.1400,332.4200,20063246
2023-10-10,330.9600,331.1000,327.6700,328.3900,20557094
2023-10-09,324.7500,330.3000,323.1800,329.8200,19891180
2023-10-06,316.5500,329.1900,316.3000,327.2600,25673630
2023-10-05,319.0900,319.9800,314.9000,319.3600,16965629
2023-10-04,314.0300,320.0400,314.0000,318.9550,20720144
2023-10-03,320.8300,321.3900,311.2150,313.3900,21033492
2023-10-02,316.2800,321.8880,315.1800,321.8000,20570006
2023-09-29,317.7500,319.4700,314.9800,315.7500,24147298
2023-09-28,310.9900,315.4800,309.4500,313.6400,19683564
2023-09-27,312.3000,314.2990,309.6900,312.7900,19410082
2023-09-26,315.1300,315.8800,310.0200,312.1400,26297573
2023-09-25,316.5900,317.6700,315.0000,317.5400,17835964
2023-09-22,321.3200,321.4500,316.1500,317.0100,21447887
2023-09-21,319.2600,325.3499,315.0000,319.5300,35560362
2023-09-20,329.5100,329.5900,320.5100,320.7700,21436525
2023-09-19,326.1700,329.3900,324.5100,328.6500,16514487
2023-09-18,327.8000,330.4000,326.3600,329.0600,16834208
2023-09-15,336.9200,337.3975,329.6500,330.2200,37679792
2023-09-14,339.1480,340.8600,336.5700,338.7000,20267048
2023-09-13,331.3100,336.8500,331.1700,336.0600,16544412
2023-09-12,335.8150,336.7900,331.4800,331.7700,17565482
2023-09-11,337.2400,338.4200,335.4300,337.9400,16583324
2023-09-08,330.0900,336.1600,329.4600,334.2700,19548165
2023-09-07,331.2900,333.0800,329.0300,329.9100,18380995
2023-09-06,333.3800,334.4600,330.1800,332.8800,17535773
2023-09-05,329.0000,334.8500,328.6600,333.5500,18553859
2023-09-01,331.3100,331.9900,326.7800,328.6600,14942024
2023-08-31,329.2000,330.9099,326.7800,327.7600,26410954
2023-08-30,328.6700,329.8100,326.4450,328.7900,15222110
2023-08-29,321.8800,328.9835,321.8800,328.4100,19284590
2023-08-28,325.6600,326.1500,321.7220,323.7000,14808482
2023-08-25,321.4700,325.3600,318.8001,322.9800,21684104
2023-08-24,332.8500,332.9800,319.9600,319.9700,23281434
2023-08-23,323.8200,329.2000,323.4600,327.0000,21166382
2023-08-22,325.5000,326.0750,321.4600,322.4600,16102024
2023-08-21,317.9300,322.7700,317.0400,321.8800,24039956
2023-08-18,314.4900,318.3800,311.5508,316.4800,24755012
2023-08-17,320.5400,321.8700,316.2100,316.8800,21257161
2023-08-16,320.8000,324.4200,319.8035,320.4000,20698864
2023-08-15,323.0000,325.0900,320.9034,321.8600,16966285
2023-08-14,321.3900,324.0600,320.0800,324.0400,18836139
2023-08-11,320.2600,322.4100,319.2100,321.0100,24355491
